manager_name,driver_name,emp_id,employee_name,score
"Lesley Farrell","Company Policies",3,"Solomon Fritsch",5
"Lesley Farrell","Manager Support",5,"Brooks Hilll",5
"Manie Halvorson","Company Policies",6,"Nobuko Dach",5
"Manie Halvorson","Company Policies",7,"Sage Beier",5
"Solomon Fritsch","Role Clarity",10,"Donnell Balistreri",5
"Solomon Fritsch","Career Growth",11,"Diann Erdman",5
"Solomon Fritsch","Company Policies",11,"Diann Erdman",5
"Kandra Lakin","Role Clarity",17,"Natashia Windler",5
"Magnolia Kohler","Career Growth",18,"Leila Lemke",5
"Magnolia Kohler","Manager Support",19,"Aida Jacobi",5
"Magnolia Kohler","Career Growth",20,"Demetrius Hahn",5
"Rina Gerhold","Role Clarity",29,"Marhta Johnston",5
"Annika Ward","Manager Support",30,"Alfred Okuneva",5
"Annika Ward","Career Growth",31,"Kimberley Jacobi",5
"Annika Ward","Manager Support",33,"Magdalena Bergnaum",5
"Malika Deckow","Manager Support",36,"Nikole Streich",5
"Malika Deckow","Role Clarity",38,"Lilia Hickle",5
"Malika Deckow","Role Clarity",39,"Joyce Rau",5
"Malika Deckow","Manager Support",40,"Gerardo Gulgowski",5
"Evonne Grant","Role Clarity",48,"Annabelle Kuhic",5
"Evonne Grant","Manager Support",49,"Nikole Kulas",5
"Evonne Grant","Career Growth",50,"Stanton Daniel",5
"Evonne Grant","Role Clarity",51,"Nicholas Ankunding",5
"Evonne Grant","Company Policies",52,"Olinda Heidenreich",5
"Joycelyn Halvorson","Career Growth",54,"Bari Kunde",5
"Joycelyn Halvorson","Career Growth",55,"Salena Upton",5
"Lesley Farrell","Company Policies",4,"Jeff Bechtelar",4
"Lesley Farrell","Role Clarity",5,"Brooks Hilll",4
"Lesley Farrell","Company Policies",5,"Brooks Hilll",4
"Manie Halvorson","Career Growth",7,"Sage Beier",4
"Manie Halvorson","Manager Support",7,"Sage Beier",4
"Manie Halvorson","Company Policies",8,"Sharlene Gerlach",4
"Manie Halvorson","Role Clarity",9,"Marie Schroeder",4
"Solomon Fritsch","Role Clarity",11,"Diann Erdman",4
"Solomon Fritsch","Manager Support",11,"Diann Erdman",4
"Kandra Lakin","Manager Support",13,"Magnolia Kohler",4
"Kandra Lakin","Role Clarity",15,"Remedios Baumbach",4
"Kandra Lakin","Career Growth",15,"Remedios Baumbach",4
"Kandra Lakin","Manager Support",16,"Fern Stroman",4
"Magnolia Kohler","Career Growth",19,"Aida Jacobi",4
