manager_name,driver_name,Number_of_responses
"Lesley Farrell","Role Clarity",4
"Lesley Farrell","Career Growth",4
"Lesley Farrell","Company Policies",4
"Lesley Farrell","Manager Support",4
"Manie Halvorson","Role Clarity",4
"Manie Halvorson","Career Growth",4
"Manie Halvorson","Company Policies",4
"Manie Halvorson","Manager Support",4
"Kandra Lakin","Role Clarity",5
"Kandra Lakin","Career Growth",5
"Kandra Lakin","Company Policies",5
"Kandra Lakin","Manager Support",5
"Magnolia Kohler","Role Clarity",5
"Magnolia Kohler","Career Growth",5
"Magnolia Kohler","Company Policies",5
"Magnolia Kohler","Manager Support",5
"Rina Gerhold","Role Clarity",6
"Rina Gerhold","Career Growth",6
"Rina Gerhold","Company Policies",6
"Rina Gerhold","Manager Support",6
"Annika Ward","Role Clarity",4
"Annika Ward","Career Growth",4
"Annika Ward","Company Policies",4
"Annika Ward","Manager Support",4
"Malika Deckow","Role Clarity",10
"Malika Deckow","Career Growth",10
"Malika Deckow","Company Policies",10
"Malika Deckow","Manager Support",10
"Evonne Grant","Role Clarity",7
"Evonne Grant","Career Growth",7
"Evonne Grant","Company Policies",7
"Evonne Grant","Manager Support",7
